dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
8000,0.1,61.43356916564697,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-13T19:43:34,,
1000,0.1,31.38981939028243,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T11:56:11,,
2000,0.1,48.57111770946419,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T12:09:59,,
3000,0.1,47.86342776815754,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T12:24:48,,
4000,0.1,48.540817643585385,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T12:40:34,,
5000,0.1,68.14555134274994,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T12:58:01,,
6000,0.1,63.65198607488881,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T13:16:16,,
7000,0.1,66.5867167727249,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T13:36:18,,
8500,0.1,44.92254560999326,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T13:45:09,,
9000,0.1,104.58097620725366,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T13:49:40,,
9358,0.1,115.79017899313364,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-04T13:54:17,,
2000,0.25,68.6055772283553,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-13T17:19:31,,
5000,0.25,52.686344616230876,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-13T17:56:19,,
9358,0.25,36.80768577554963,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-13T22:52:33,,
