dataset_size,epsilon,result,evaluation_tool,tool,sd,query,time
1000,0.1,2822.562795634924,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:18:28,,
3000,0.1,1451.1740513732125,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:25:51,,
4000,0.1,1378.2626185640793,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:32:00,,
5000,0.1,878.9288079241107,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:41:23,,
5499,0.1,1181.5116975145036,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-05-17T10:53:31,,
2000,0.1,1633.6715289077563,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.1_2021-06-05T09:00:26,,
1000,0.25,2401.2750536255053,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:18:41,,
2000,0.25,1408.9526332521143,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:22:14,,
3000,0.25,1540.924998677252,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:26:14,,
5000,0.25,1033.403180691607,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:41:41,,
5499,0.25,938.4085406879327,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-05-17T10:54:16,,
4000,0.25,950.4410188726595,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.25_2021-06-05T09:14:03,,
1000,0.5,2880.816410558027,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-05-17T10:18:49,,
2000,0.5,1779.6026843107309,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-05-17T10:22:20,,
4000,0.5,1328.37537120258,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-05-17T10:32:55,,
3000,0.5,1737.682984333004,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-06-05T09:20:51,,
5000,0.5,1364.5956676988071,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.5_2021-06-05T09:30:37,,
1000,0.75,3615.7527070668416,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-05-17T10:18:53,,
2000,0.75,3885.5193110928353,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-05-17T10:22:33,,
3000,0.75,3047.4869946394588,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-05T09:36:38,,
4000,0.75,1511.0532719270932,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-05T09:40:35,,
5000,0.75,946.1559331209015,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_0.75_2021-06-05T10:00:30,,
1000,1.0,3902.6271761545586,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-05-17T10:19:02,,
2000,1.0,1515.9018111736452,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-05T10:05:11,,
3000,1.0,3237.7055792023384,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.0_2021-06-05T10:08:22,,
1000,1.25,2947.4405300138974,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-05-17T10:19:15,,
2000,1.25,2274.024984837489,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-05T10:22:12,,
4000,1.25,1286.8177099066359,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.25_2021-06-05T10:35:01,,
2000,1.5,6886.949516264795,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-05-17T10:23:17,,
1000,1.5,2818.5035763520905,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-06-05T10:43:37,,
4000,1.5,1401.8997206976517,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-06-05T11:15:35,,
5000,1.5,1027.043365163498,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.5_2021-06-05T11:25:27,,
1000,1.75,4644.724698695751,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-17T10:19:51,,
5499,1.75,1154.945405373126,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-05-17T10:58:09,,
3000,1.75,1937.7645122120448,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-06-05T11:40:02,,
4000,1.75,1495.231653646499,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-06-05T11:48:11,,
5000,1.75,1389.0156137559998,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_1.75_2021-06-05T12:00:31,,
1000,2.0,6633.4218001564905,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-17T10:20:00,,
5499,2.0,1792.5275063651536,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-05-17T10:59:24,,
2000,2.0,2624.13888870148,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-06-05T12:15:08,,
4000,2.0,943.5886029770564,tensorflow_privacy,smartnoise_dpctgan,smartnoise_dpctgan_2.0_2021-06-05T12:37:11,,
