epsilon,dataset_size,mse,result,time
-1.0,1000,3.57967472076416,3.57967472076416,4.580389499664307
0.1,1000,153.67642211914062,153.67642211914062,15.094710111618042
0.1,1000,248.4328155517578,248.4328155517578,15.083559274673462
0.1,1000,156.40484619140625,156.40484619140625,15.024064540863035
0.1,1000,173.4288330078125,173.4288330078125,14.884284257888794
0.1,1000,186.35031127929688,186.35031127929688,14.89360785484314
0.25,1000,203.4021148681641,203.4021148681641,14.90737509727478
0.25,1000,225.6986389160156,225.6986389160156,15.358398199081421
0.25,1000,205.0567626953125,205.0567626953125,14.785710334777832
0.25,1000,234.23703002929688,234.23703002929688,14.831540584564207
0.25,1000,194.3049468994141,194.3049468994141,14.887625694274902
0.5,1000,203.55230712890625,203.55230712890625,15.310013055801392
0.5,1000,191.1768798828125,191.1768798828125,15.561481952667235
0.5,1000,188.62249755859372,188.62249755859372,15.64010763168335
0.5,1000,204.56228637695312,204.56228637695312,15.602841138839722
0.5,1000,196.8219757080078,196.8219757080078,15.662917613983154
0.75,1000,200.96304321289062,200.96304321289062,15.755150556564331
0.75,1000,218.46337890625,218.46337890625,15.594489812850952
0.75,1000,211.2723693847656,211.2723693847656,15.640173196792604
0.75,1000,203.94113159179688,203.94113159179688,15.588207721710205
0.75,1000,182.47244262695312,182.47244262695312,15.178316116333008
1.0,1000,208.8373565673828,208.8373565673828,14.813906908035278
1.0,1000,211.33544921875,211.33544921875,14.858279466629028
1.0,1000,190.64112854003903,190.64112854003903,15.574071407318115
1.0,1000,190.0277862548828,190.0277862548828,15.580442190170288
1.0,1000,209.34292602539062,209.34292602539062,15.542563199996948
1.5,1000,194.0173797607422,194.0173797607422,15.61066746711731
1.5,1000,202.5365295410156,202.5365295410156,15.6107656955719
1.5,1000,203.1267242431641,203.1267242431641,15.617320775985718
1.5,1000,193.15597534179688,193.15597534179688,15.526814222335815
1.5,1000,197.1351776123047,197.1351776123047,14.922943830490112
1.25,1000,197.79180908203125,197.79180908203125,14.948878049850464
1.25,1000,217.93792724609372,217.93792724609372,15.015069484710693
1.25,1000,215.49143981933597,215.49143981933597,15.093158483505249
1.25,1000,201.36886596679688,201.36886596679688,15.576054096221926
1.25,1000,193.51434326171875,193.51434326171875,15.383896112442017
1.75,1000,196.9076995849609,196.9076995849609,15.452963829040527
1.75,1000,205.58740234375,205.58740234375,15.674683809280396
1.75,1000,190.56558227539062,190.56558227539062,15.537742137908936
1.75,1000,217.26304626464844,217.26304626464844,14.910428047180176
