query,dataset_size,epsilon,result,tool,time
avg_insured,1000,0.1,74.30406852248395,smartnoise_dpctgan,
avg_ppeducat,1000,0.1,22.693667630986834,smartnoise_dpctgan,
avg_ppincimp,1000,0.1,4.758440046565774,smartnoise_dpctgan,
avg_q1,1000,0.1,1.6218354430379718,smartnoise_dpctgan,
count_insured,1000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,1000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,1000,0.1,0.0,smartnoise_dpctgan,
count_q1,1000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,1000,0.1,745.3875530436922,smartnoise_dpctgan,
histogram_ppeducat,1000,0.1,220.61293110984414,smartnoise_dpctgan,
histogram_ppincimp,1000,0.1,45.80233187755985,smartnoise_dpctgan,
histogram_q1,1000,0.1,64.1160539825255,smartnoise_dpctgan,
sum_insured,1000,0.1,74.30406852248393,smartnoise_dpctgan,
sum_ppeducat,1000,0.1,22.693667630986823,smartnoise_dpctgan,
sum_ppincimp,1000,0.1,4.758440046565774,smartnoise_dpctgan,
sum_q1,1000,0.1,1.6218354430379747,smartnoise_dpctgan,
avg_insured,2000,0.1,63.138297872340424,smartnoise_dpctgan,
avg_ppeducat,2000,0.1,17.55847484780519,smartnoise_dpctgan,
avg_ppincimp,2000,0.1,13.287720561757297,smartnoise_dpctgan,
avg_q1,2000,0.1,5.712567648827424,smartnoise_dpctgan,
count_insured,2000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,2000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,2000,0.1,0.0,smartnoise_dpctgan,
count_q1,2000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,2000,0.1,700.8698663456223,smartnoise_dpctgan,
histogram_ppeducat,2000,0.1,209.86963649219973,smartnoise_dpctgan,
histogram_ppincimp,2000,0.1,81.25280847844508,smartnoise_dpctgan,
histogram_q1,2000,0.1,104.55062931306725,smartnoise_dpctgan,
sum_insured,2000,0.1,63.138297872340424,smartnoise_dpctgan,
sum_ppeducat,2000,0.1,17.55847484780519,smartnoise_dpctgan,
sum_ppincimp,2000,0.1,13.287720561757292,smartnoise_dpctgan,
sum_q1,2000,0.1,5.71256764882742,smartnoise_dpctgan,
avg_insured,3000,0.1,71.34232954545455,smartnoise_dpctgan,
avg_ppeducat,3000,0.1,28.4402690295719,smartnoise_dpctgan,
avg_ppincimp,3000,0.1,0.6306023339534641,smartnoise_dpctgan,
avg_q1,3000,0.1,12.446351931330478,smartnoise_dpctgan,
count_insured,3000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,3000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,3000,0.1,0.0,smartnoise_dpctgan,
count_q1,3000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,3000,0.1,773.6993612882801,smartnoise_dpctgan,
histogram_ppeducat,3000,0.1,283.02568421744104,smartnoise_dpctgan,
histogram_ppincimp,3000,0.1,38.13805096187892,smartnoise_dpctgan,
histogram_q1,3000,0.1,308.10312105976755,smartnoise_dpctgan,
sum_insured,3000,0.1,71.34232954545455,smartnoise_dpctgan,
sum_ppeducat,3000,0.1,28.4402690295719,smartnoise_dpctgan,
sum_ppincimp,3000,0.1,0.6306023339534659,smartnoise_dpctgan,
sum_q1,3000,0.1,12.446351931330472,smartnoise_dpctgan,
avg_insured,4000,0.1,70.75648222400429,smartnoise_dpctgan,
avg_ppeducat,4000,0.1,20.166453265044808,smartnoise_dpctgan,
avg_ppincimp,4000,0.1,6.977466693470272,smartnoise_dpctgan,
avg_q1,4000,0.1,9.450945094509454,smartnoise_dpctgan,
count_insured,4000,0.1,0.0,smartnoise_dpctgan,
count_ppeducat,4000,0.1,0.0,smartnoise_dpctgan,
count_ppincimp,4000,0.1,0.0,smartnoise_dpctgan,
count_q1,4000,0.1,0.0,smartnoise_dpctgan,
histogram_insured,4000,0.1,724.3984620428625,smartnoise_dpctgan,
histogram_ppeducat,4000,0.1,225.67952609349996,smartnoise_dpctgan,
histogram_ppincimp,4000,0.1,55.732298463159566,smartnoise_dpctgan,
histogram_q1,4000,0.1,128.2427492736653,smartnoise_dpctgan,
sum_insured,4000,0.1,70.75648222400429,smartnoise_dpctgan,
sum_ppeducat,4000,0.1,20.166453265044815,smartnoise_dpctgan,
sum_ppincimp,4000,0.1,6.977466693470276,smartnoise_dpctgan,
