epsilon,dataset_size,time,result,query,result_bin
0.25,1000,0.0258727073669433,291,histogram_age,72
0.25,1000,0.0254912376403808,"240,118",histogram_age,"72,75"
0.25,1000,0.0251810550689697,242,histogram_age,72
0.25,1000,0.0262608528137207,"283,201",histogram_age,"72,75"
0.25,1000,0.0269341468811035,249,histogram_age,72
0.25,1000,0.0253565311431884,239,histogram_age,72
0.25,1000,0.0266077518463134,"122,268",histogram_age,"63,72"
0.25,1000,0.0262086391448974,258,histogram_age,72
0.25,1000,0.0265164375305175,"155,300,83",histogram_age,"58,72,74"
0.25,1000,0.027595043182373,"117,284",histogram_age,"58,72"
0.5,1000,0.0286524295806884,"151,152,141,262,123,136",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0261366367340087,"151,142,174,280,140,113",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0273575782775878,"153,143,134,273,131,184",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0259740352630615,"124,165,167,260,137,137",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0268290042877197,"157,155,154,268,111,141",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0269970893859863,"170,132,157,248,116,172",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0275783538818359,"128,164,173,233,137,165",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0270140171051025,"147,150,162,234,107,150",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0271587371826171,"154,124,159,254,140,145",histogram_age,"57,58,63,72,74,75"
0.5,1000,0.0271816253662109,"148,134,166,272,132,133",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0279319286346435,"124,154,164,266,135,164",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0271933078765869,"142,165,129,271,126,167",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.066218614578247,"143,145,159,259,130,133",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0269529819488525,"127,129,170,267,129,179",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0266332626342773,"150,161,164,250,135,158",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0262103080749511,"126,123,140,263,140,126",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0274059772491455,"148,147,158,265,134,159",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0269038677215576,"153,132,174,253,130,167",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0278809070587158,"122,143,155,251,129,166",histogram_age,"57,58,63,72,74,75"
0.75,1000,0.0275418758392334,"154,138,167,281,119,153",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0270853042602539,"160,152,158,246,140,138",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0274598598480224,"154,161,161,272,134,168",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0271482467651367,"139,149,162,257,128,162",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0265707969665527,"148,147,174,255,128,158",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0287606716156005,"144,147,156,264,139,147",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0277197360992431,"141,131,157,263,140,156",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0266118049621582,"147,144,145,263,130,144",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0272021293640136,"140,150,160,257,146,171",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0280163288116455,"153,148,160,264,127,158",histogram_age,"57,58,63,72,74,75"
1.0,1000,0.0267219543457031,"148,158,158,267,138,161",histogram_age,"57,58,63,72,74,75"
