batch_size,dataset,dataset_size,delta,dp_l2_norm_clip,dp_noise_multiplier,epochs,epsilon,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,score,synthetic_dir,test_start_time,timestamp,tool,validator,query_count
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,736.7697014808655,0.005,0.0,1.0,32.0,0.9555017365426913,gretel_2441478_2021-05-26T17:08:25,1622045621.039952,2021-05-26T17:08:25,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,382.61476469039917,0.005,1.0,1.0,32.0,0.9487650560302657,gretel_2441478_2021-05-26T17:18:19,1622045621.039952,2021-05-26T17:18:19,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,307.167724609375,0.005,2.0,1.0,32.0,0.9605592007511458,gretel_2441478_2021-05-26T17:26:50,1622045621.039952,2021-05-26T17:26:50,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,340.89159417152405,0.005,3.0,1.0,32.0,0.9610471528608288,gretel_2441478_2021-05-26T17:35:55,1622045621.039952,2021-05-26T17:35:55,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,323.7384958267212,0.005,4.0,1.0,32.0,0.9567192604692866,gretel_2441478_2021-05-26T17:44:50,1622045621.039952,2021-05-26T17:44:50,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,369.63269448280334,0.005,5.0,1.0,32.0,0.9608941335162493,gretel_2441478_2021-05-26T17:54:11,1622045621.039952,2021-05-26T17:54:11,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,569.8613545894623,0.005,6.0,1.0,32.0,0.9463420071527283,gretel_2441478_2021-05-26T18:06:56,1622045621.039952,2021-05-26T18:06:56,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,446.35700488090515,0.005,7.0,1.0,32.0,0.9440560579206432,gretel_2441478_2021-05-26T18:17:35,1622045621.039952,2021-05-26T18:17:35,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,435.6311123371124,0.005,8.0,1.0,32.0,0.9566393708380619,gretel_2441478_2021-05-26T18:28:14,1622045621.039952,2021-05-26T18:28:14,gretel,,
4.0,medical-survey,2000.0,0.0,0.1,0.1,100.0,2441478.0,446.6241898536682,0.005,9.0,1.0,32.0,0.9616950752206422,gretel_2441478_2021-05-26T18:39:05,1622045621.039952,2021-05-26T18:39:05,gretel,,
4.0,medical-survey,9000.0,0.0,0.1,0.3,100.0,28.0,1318.5524549484253,0.005,0.0,1.0,32.0,0.9653604611532803,gretel_28_2021-05-28T07:49:11,1622045621.039952,2021-05-28T07:49:11,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,978.3566555976868,0.005,0.0,1.0,32.0,0.9752664703183251,gretel_29_2021-05-27T17:56:49,1622045621.039952,2021-05-27T17:56:49,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1057.4805064201355,0.005,1.0,1.0,32.0,0.941257733771491,gretel_29_2021-05-27T18:32:14,1622045621.039952,2021-05-27T18:32:14,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1198.8684701919556,0.005,2.0,1.0,32.0,0.9648403285829059,gretel_29_2021-05-27T19:10:00,1622045621.039952,2021-05-27T19:10:00,gretel,,
4.0,medical-survey,8000.0,0.0,0.1,0.3,100.0,29.0,1214.7032022476196,0.005,3.0,1.0,32.0,0.963315535267296,gretel_29_2021-05-27T19:48:03,1622045621.039952,2021-05-27T19:48:03,gretel,,
