result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,dp_l2_norm_clip,dp_noise_multiplier,epochs,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,timestamp,validator
"1,2,3,4,5","1064,3742,3291,1027,234",histogram_q1,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4907,604,802,535,246,520,72,169,55,21,316,1,47,5,61,163,6,3,8,2,137,10,9,8,6,79,5,9,25,11,516",histogram_q2,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","5297,469,680,386,146,534,67,115,44,10,384,1,37,6,29,259,6,8,5,4,237,5,8,6,7,116,9,7,26,10,440",histogram_q3,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","326,111,123,205,151,258,337,328,351,320,567,617,839,651,703,1100,626,605,384,371,385",histogram_ppincimp,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"0,1","739,8619",histogram_insured,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"1,2,3,4","591,2090,2729,3948",histogram_ppeducat,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,23699,sum_q1,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,39392,sum_q2,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,39820,sum_q3,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,121522,sum_ppincimp,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,8619,sum_insured,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,28750,sum_ppeducat,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_q1,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_q2,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_q3,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_ppincimp,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_insured,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_ppeducat,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,2.5324855738405643,avg_q1,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,4.209446462919427,avg_q2,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,4.255182731352853,avg_q3,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,12.985894421885018,avg_ppincimp,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,0.9210301346441547,avg_insured,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,3.0722376576191492,avg_ppeducat,-1,9358,1,1624480021.0043423,,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"1.0,2.0,3.0,4.0,5.0","1797,3224,2752,1005,486",histogram_q1,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0","3482,829,1919,1653,383,439,71,105,37,19,170,14,21,16,11,34,3,9,3,2,41,4,6,6,2,14,2,3,3,1,20",histogram_q2,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"0.0,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0,22.0,23.0,24.0,25.0,26.0,27.0,28.0,29.0,30.0","5712,375,886,675,161,459,37,61,15,9,317,15,21,17,5,49,2,11,3,2,192,3,16,13,3,26,2,4,2,1,102",histogram_q3,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0","374,881,1029,908,155,219,153,144,142,266,1113,889,867,582,287,414,254,245,159,46,212",histogram_ppincimp,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"0.0,1.0","258,7901",histogram_insured,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
"1.0,2.0,3.0,4.0","2221,2082,1941,3001",histogram_ppeducat,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,22951.0,sum_q1,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,20670.0,sum_q2,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,21466.0,sum_q3,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,87485.0,sum_ppincimp,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,7901.0,sum_insured,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,24212.0,sum_ppeducat,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_q1,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_q2,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_q3,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_ppincimp,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_insured,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9358,count_ppeducat,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,2.4774395509499136,avg_q1,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,2.2173353357648575,avg_q2,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,2.334275772074815,avg_q3,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,9.367705321768925,avg_ppincimp,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,0.9683784777546268,avg_insured,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
,2.618929150892374,avg_ppeducat,55.3092,9358,1,1624480021.0043423,gretel,4,0.1,0.3,100,556.2260146141052,0.001,0,1,32,2021-05-14T20:22:03,gretel
