result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,delta,dp_l2_norm_clip,dp_noise_multiplier,epochs,generate_time,learning_rate,num_of_runs,predict_batch_size,rnn_units,timestamp
"1,2,3,4,5","788,2875,2453,769,182",histogram_q1,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","3848,437,583,390,176,380,50,127,37,17,226,1,31,3,39,102,6,1,4,2,102,6,8,5,4,57,3,6,15,6,395",histogram_q2,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4240,352,468,284,98,363,48,71,34,6,273,1,23,3,18,175,4,8,4,3,154,5,7,2,4,80,4,3,17,7,308",histogram_q3,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","219,81,89,149,111,177,265,237,249,221,421,444,591,483,539,842,502,488,317,314,328",histogram_ppincimp,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
"0,1","541,6526",histogram_insured,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
"1,2,3,4","436,1695,1984,2952",histogram_ppeducat,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,17883,sum_q1,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,28658,sum_q2,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,27305,sum_q3,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,93533,sum_ppincimp,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,6526,sum_insured,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,21586,sum_ppeducat,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,7067,count_q1,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,7067,count_q2,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,7067,count_q3,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,7067,count_ppincimp,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,7067,count_insured,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,7067,count_ppeducat,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,2.5304938446299703,avg_q1,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,4.055186076128485,avg_q2,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,3.8637328427904345,avg_q3,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,13.235177585962926,avg_ppincimp,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,0.9234470072166407,avg_insured,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
,3.0544785623319655,avg_ppeducat,-1,7067,1,1622395971.7027888,,4,0,0.1,0.1,100,733.5813581943512,0.005,9,1,32,2021-05-27T17:36:40
