result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,num_of_runs,timestamp
"1,2,3,4,5","441,1674,1409,397,79",histogram_q1,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,17,18,20,21,22,23,24,25,27,28,29,30","2269,244,334,193,93,206,26,70,16,9,129,1,16,25,49,3,1,4,45,3,3,5,3,23,3,8,5,214",histogram_q2,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","2510,201,254,159,48,186,27,39,12,3,136,1,12,1,7,97,4,5,3,2,77,3,3,2,2,40,3,2,6,4,151",histogram_q3,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","97,36,34,66,54,91,121,129,124,113,223,254,336,299,325,544,298,285,191,196,184",histogram_ppincimp,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"0,1","259,3741",histogram_insured,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"1,2,3,4","182,936,1086,1796",histogram_ppeducat,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,9999,sum_q1,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,15124,sum_q2,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,13897,sum_q3,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,54719,sum_ppincimp,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,3741,sum_insured,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,12496,sum_ppeducat,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_q1,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_q2,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_q3,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_ppincimp,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_insured,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_ppeducat,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,2.49975,avg_q1,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,3.781,avg_q2,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,3.47425,avg_q3,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,13.67975,avg_ppincimp,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,0.93525,avg_insured,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,3.124,avg_ppeducat,-1,4000,1,1622929679.853642,,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"1,2,3,4,5","799,823,768,968,642",histogram_q1,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","684,304,268,206,192,166,189,203,176,171,178,118,98,62,49,71,49,58,47,39,45,27,34,31,52,87,86,103,81,72,54",histogram_q2,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","806,81,194,329,255,144,285,326,245,60,110,169,167,44,12,11,22,23,34,32,49,58,69,64,91,55,67,58,40,42,58",histogram_q3,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","94,101,110,110,103,97,113,155,198,243,246,249,264,269,535,385,289,200,129,73,37",histogram_ppincimp,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"0,1","1941,2059",histogram_insured,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
"1,2,3,4","957,1227,1426,390",histogram_ppeducat,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,11831,sum_q1,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,36070,sum_q2,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,33652,sum_q3,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,48684,sum_ppincimp,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,2059,sum_insured,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,9249,sum_ppeducat,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_q1,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_q2,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
,4000,count_q3,0.1,4000,1,1622929679.853642,smartnoise_dpctgan,500,300,7.3115785121917725,1,2021-06-04T12:40:41
