result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,generate_time,num_of_runs,query_count,timestamp
"1,2,3,4,5","208,863,701,188,40",histogram_q1,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
"0,1,2,3,4,5,6,7,8,9,10,11,12,14,15,16,18,20,21,22,23,24,25,27,28,29,30","1163,114,162,84,50,96,13,42,4,3,65,1,8,12,22,3,2,18,1,3,2,2,10,3,4,3,110",histogram_q2,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,30","1281,86,133,72,30,92,13,22,7,1,63,7,1,3,40,2,3,2,1,36,1,2,1,14,1,2,6,3,75",histogram_q3,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","40,19,15,35,26,47,59,62,54,48,108,124,152,148,164,301,147,152,96,102,101",histogram_ppincimp,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
"0,1","120,1880",histogram_insured,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
"1,2,3,4","84,473,560,883",histogram_ppeducat,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,4989,sum_q1,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,7511,sum_q2,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,6698,sum_q3,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,27770,sum_ppincimp,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,1880,sum_insured,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,6242,sum_ppeducat,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_q1,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_q2,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_q3,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_ppincimp,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_insured,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_ppeducat,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,2.4945,avg_q1,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,3.7555,avg_q2,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,3.349,avg_q3,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,13.885,avg_ppincimp,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,0.94,avg_insured,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
,3.121,avg_ppeducat,-1,2000,1,1622929679.853642,,157.09421253204346,2,400,2021-06-04T12:04:35
"1,2,3,4,5","406,568,339,281",histogram_q1,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","507,238,46,42,38,42,44,41,50,40,39,39,41,48,50,34,49,45,42,49,41,45,40,44,35,42,57,45,40,43,44",histogram_q2,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","34,45,37,54,54,40,288,38,44,57,72,65,62,94,65,77,82,104,81,89,75,51,42,46,36,40,46,58,35,48,41",histogram_q3,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","53,74,60,73,68,112,97,95,113,127,120,116,111,101,94,80,89,89,92,125,111",histogram_ppincimp,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
"0,1","925,1075",histogram_insured,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
"1,2,3,4","404,453,606,537",histogram_ppeducat,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,5683,sum_q1,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,20441,sum_q2,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,28032,sum_q3,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,23364,sum_ppincimp,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,1075,sum_insured,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,5276,sum_ppeducat,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_q1,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_q2,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_q3,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_ppincimp,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_insured,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2000,count_ppeducat,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2.8415,avg_q1,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,10.2205,avg_q2,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,14.016,avg_q3,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,11.682,avg_ppincimp,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,0.5375,avg_insured,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
,2.638,avg_ppeducat,0.1,2000,1,1622929679.853642,smartnoise_mwem,157.09421253204346,2,400,2021-06-04T12:04:35
