result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,num_of_runs,timestamp
"1,2,3,4,5","1018,3601,3160,996,225",histogram_q1,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","4730,586,772,513,235,499,71,163,53,21,301,1,43,4,58,151,6,2,6,2,129,9,9,8,6,73,4,9,25,10,501",histogram_q2,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","5125,459,640,370,142,507,66,109,42,9,368,1,37,6,28,245,6,8,5,3,225,5,7,6,7,106,8,7,25,10,418",histogram_q3,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","308,110,116,188,142,246,330,312,330,305,547,592,806,618,683,1061,603,594,370,361,378",histogram_ppincimp,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
"0,1","709,8291",histogram_insured,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
"1,2,3,4","567,2038,2602,3793",histogram_ppeducat,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,22809,sum_q1,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,37713,sum_q2,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,37829,sum_q3,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,117243,sum_ppincimp,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,8291,sum_insured,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,27621,sum_ppeducat,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_q1,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_q2,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_q3,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_ppincimp,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_insured,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_ppeducat,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,2.5343333333333335,avg_q1,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,4.190333333333333,avg_q2,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,4.203222222222222,avg_q3,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,13.027,avg_ppincimp,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,0.9212222222222223,avg_insured,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
,3.069,avg_ppeducat,-1,9000,1,1621546055.609838,,500,500,8.349582433700562,0,2021-05-13T16:26:01
"1,2,3,4,5","1828,2199,2173,1915,885",histogram_q1,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1431,473,548,588,625,576,368,222,368,509,418,203,161,185,204,198,162,134,88,62,76,89,76,79,82,68,134,177,234,214,248",histogram_q2,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30","1461,317,267,409,592,533,281,193,239,536,452,118,133,190,180,203,160,226,249,287,291,234,176,114,90,116,138,167,235,218,195",histogram_q3,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","344,365,368,342,304,290,337,314,363,430,483,668,584,786,937,641,412,401,282,210,139",histogram_ppincimp,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
"0,1","6396,2604",histogram_insured,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
"1,2,3,4","2260,2669,3003,1068",histogram_ppeducat,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,24830,sum_q1,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,83215,sum_q2,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,97807,sum_q3,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,102179,sum_ppincimp,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,2604,sum_insured,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,20879,sum_ppeducat,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_q1,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_q2,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_q3,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_ppincimp,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_insured,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9000,count_ppeducat,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,2.758888888888889,avg_q1,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,9.24611111111111,avg_q2,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,10.867444444444445,avg_q3,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,11.353222222222222,avg_ppincimp,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,0.28933333333333333,avg_insured,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
,2.319888888888889,avg_ppeducat,1.0,9000,1,1621546055.609838,smartnoise_patectgan,500,500,8.349582433700562,0,2021-05-13T16:26:01
