dataset,epsilon,score,synthetic_dir,tool,batch_size,dataset_size,epochs,generate_time,num_of_runs,test_start_time,timestamp
medical-survey,10.95,58.79436092090257,gretel_10.95_21-04-05T14:58:00,gretel,,,,,,,
medical-survey,13.9568,35.86182336182336,gretel_13.9568_2021-05-08T19:36:12,gretel,,,,,,,
medical-survey,13.9568,33.85225885225885,gretel_13.9568_2021-05-08T19:38:00,gretel,,,,,,,
medical-survey,23.21,45.802147811165014,gretel_23.21_21-04-05T20:20:32,gretel,,,,,,,
medical-survey,52.87,47.70502488080154,gretel_52.87_21-04-05T14:01:41,gretel,,,,,,,
medical-survey,57.74,54.16116972481942,gretel_57.74_21-04-05T21:36:07,gretel,,,,,,,
medical-survey,0.1,80.16718083123567,smartnoise_dpctgan_0.1_2021-05-08T19:49:18,smartnoise_dpctgan,500.0,1000.0,300.0,1.0447041988372803,0.0,1620503348.7852345,2021-05-08T19:49:18
medical-survey,0.1,80.99606640567468,smartnoise_dpctgan_0.1_2021-05-08T19:56:19,smartnoise_dpctgan,500.0,2000.0,300.0,1.634756326675415,0.0,1620503348.7852345,2021-05-08T19:56:19
medical-survey,0.1,101.79283270049928,smartnoise_dpctgan_0.1_2021-05-08T20:04:47,smartnoise_dpctgan,300.0,3000.0,500.0,1.8474891185760498,0.0,1620503348.7852345,2021-05-08T20:04:47
medical-survey,0.1,84.29723315170283,smartnoise_dpctgan_0.1_2021-05-08T20:14:23,smartnoise_dpctgan,500.0,4000.0,300.0,2.31050443649292,0.0,1620503348.7852345,2021-05-08T20:14:23
medical-survey,0.1,69.50466938205838,smartnoise_dpctgan_0.1_2021-05-08T20:25:11,smartnoise_dpctgan,300.0,5000.0,100.0,2.6522486209869385,0.0,1620503348.7852345,2021-05-08T20:25:11
medical-survey,0.1,73.49881335786844,smartnoise_dpctgan_0.1_2021-05-08T20:37:11,smartnoise_dpctgan,300.0,6000.0,100.0,3.353452205657959,0.0,1620503348.7852345,2021-05-08T20:37:11
medical-survey,0.1,71.12506513874416,smartnoise_dpctgan_0.1_2021-05-08T20:51:06,smartnoise_dpctgan,500.0,7000.0,300.0,4.048699617385864,0.0,1620503348.7852345,2021-05-08T20:51:06
medical-survey,0.1,71.2258983997281,smartnoise_dpctgan_0.1_2021-05-08T21:06:04,smartnoise_dpctgan,300.0,8000.0,100.0,4.398455619812012,0.0,1620503348.7852345,2021-05-08T21:06:04
medical-survey,0.1,68.0798886441556,smartnoise_dpctgan_0.1_2021-05-08T21:22:19,smartnoise_dpctgan,300.0,8500.0,100.0,4.300726890563965,0.0,1620503348.7852345,2021-05-08T21:22:19
medical-survey,0.25,74.37020127822917,smartnoise_dpctgan_0.25_2021-05-08T19:49:26,smartnoise_dpctgan,500.0,1000.0,500.0,1.045816421508789,0.0,1620503348.7852345,2021-05-08T19:49:26
medical-survey,0.25,88.90550129702514,smartnoise_dpctgan_0.25_2021-05-08T19:56:29,smartnoise_dpctgan,500.0,2000.0,300.0,1.6008329391479492,0.0,1620503348.7852345,2021-05-08T19:56:29
medical-survey,0.25,97.29622075782233,smartnoise_dpctgan_0.25_2021-05-08T20:05:00,smartnoise_dpctgan,500.0,3000.0,100.0,1.8234686851501465,0.0,1620503348.7852345,2021-05-08T20:05:00
medical-survey,0.25,87.16851552102736,smartnoise_dpctgan_0.25_2021-05-08T20:14:27,smartnoise_dpctgan,300.0,4000.0,100.0,2.3416237831115723,0.0,1620503348.7852345,2021-05-08T20:14:27
medical-survey,0.25,62.59798918560239,smartnoise_dpctgan_0.25_2021-05-08T20:25:27,smartnoise_dpctgan,300.0,5000.0,100.0,2.6287472248077393,0.0,1620503348.7852345,2021-05-08T20:25:27
medical-survey,0.25,80.18836409242164,smartnoise_dpctgan_0.25_2021-05-08T20:37:41,smartnoise_dpctgan,500.0,6000.0,100.0,3.2985377311706543,0.0,1620503348.7852345,2021-05-08T20:37:41
medical-survey,0.25,72.02078225157724,smartnoise_dpctgan_0.25_2021-05-08T20:51:31,smartnoise_dpctgan,500.0,7000.0,300.0,4.042373180389404,0.0,1620503348.7852345,2021-05-08T20:51:31
medical-survey,0.25,65.84256562401069,smartnoise_dpctgan_0.25_2021-05-08T21:06:48,smartnoise_dpctgan,500.0,8000.0,300.0,4.333089113235474,0.0,1620503348.7852345,2021-05-08T21:06:48
