result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool
"1,2,3,4,5","1064,3742,3291,1027,234",histogram_q1,-1,9500,1,1621246045.0573075,
"1,2,3,4","591,2090,2729,3948",histogram_ppeducat,-1,9500,1,1621246045.0573075,
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","326,111,123,205,151,258,337,328,351,320,567,617,839,651,703,1100,626,605,384,371,385",histogram_ppincimp,-1,9500,1,1621246045.0573075,
,23699,sum_q1,-1,9500,1,1621246045.0573075,
,28750,sum_ppeducat,-1,9500,1,1621246045.0573075,
,121522,sum_ppincimp,-1,9500,1,1621246045.0573075,
,9358,count_q1,-1,9500,1,1621246045.0573075,
,9358,count_ppeducat,-1,9500,1,1621246045.0573075,
,9358,count_ppincimp,-1,9500,1,1621246045.0573075,
,2.5324855738405643,avg_q1,-1,9500,1,1621246045.0573075,
,3.0722376576191492,avg_ppeducat,-1,9500,1,1621246045.0573075,
,12.985894421885018,avg_ppincimp,-1,9500,1,1621246045.0573075,
"1.0,2.0,3.0,4.0,5.0","2454,2821,2504,1378,261",histogram_q1,10.95,9500,1,1621246045.0573075,gretel
"1.0,2.0,3.0,4.0","3712,1823,1578,2376",histogram_ppeducat,10.95,9500,1,1621246045.0573075,gretel
"1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,9.0,10.0,11.0,12.0,13.0,14.0,15.0,16.0,17.0,18.0,19.0,20.0,21.0","882,1013,929,1019,154,86,95,67,74,207,1082,648,638,551,234,535,432,349,226,63,208",histogram_ppincimp,10.95,9500,1,1621246045.0573075,gretel
,22425.0,sum_q1,10.95,9500,1,1621246045.0573075,gretel
,21596.0,sum_ppeducat,10.95,9500,1,1621246045.0573075,gretel
,86298.0,sum_ppincimp,10.95,9500,1,1621246045.0573075,gretel
,9500,count_q1,10.95,9500,1,1621246045.0573075,gretel
,9500,count_ppeducat,10.95,9500,1,1621246045.0573075,gretel
,9500,count_ppincimp,10.95,9500,1,1621246045.0573075,gretel
,2.3810787853047355,avg_q1,10.95,9500,1,1621246045.0573075,gretel
,2.275898408683739,avg_ppeducat,10.95,9500,1,1621246045.0573075,gretel
,9.09165613147914,avg_ppincimp,10.95,9500,1,1621246045.0573075,gretel
