result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,num_of_runs,timestamp
"1,2,3,4,5","208,863,701,188,40",histogram_q1,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","40,19,15,35,26,47,59,62,54,48,108,124,152,148,164,301,147,152,96,102,101",histogram_ppincimp,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
"0,1","120,1880",histogram_insured,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
"1,2,3,4","84,473,560,883",histogram_ppeducat,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,4989,sum_q1,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,27770,sum_ppincimp,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,1880,sum_insured,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,6242,sum_ppeducat,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_q1,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_ppincimp,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_insured,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_ppeducat,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2.4945,avg_q1,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,13.885,avg_ppincimp,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,0.94,avg_insured,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
,3.121,avg_ppeducat,-1,2000,1,1621246045.0573075,,500,300,2.246861219406128,0,2021-05-08T19:56:55
"1,2,3,4,5","495,513,539,337,116",histogram_q1,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","31,53,49,42,57,53,72,81,102,120,121,147,140,156,143,138,141,127,98,79,50",histogram_ppincimp,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
"0,1","1332,668",histogram_insured,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
"1,2,3,4","558,633,605,204",histogram_ppeducat,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,5066,sum_q1,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,24952,sum_ppincimp,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,668,sum_insured,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,4455,sum_ppeducat,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_q1,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_ppincimp,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_insured,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2000,count_ppeducat,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2.533,avg_q1,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,12.476,avg_ppincimp,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,0.334,avg_insured,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
,2.2275,avg_ppeducat,0.75,2000,1,1621246045.0573075,smartnoise_dpctgan,500,300,2.246861219406128,0,2021-05-08T19:56:55
