result_bin,result,query,epsilon,dataset_size,number_of_runs,test_start_time,tool,batch_size,epochs,generate_time,num_of_runs,timestamp
"1,2,3,4,5","208,863,701,188,40",histogram_q1,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","40,19,15,35,26,47,59,62,54,48,108,124,152,148,164,301,147,152,96,102,101",histogram_ppincimp,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
"0,1","120,1880",histogram_insured,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
"1,2,3,4","84,473,560,883",histogram_ppeducat,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,4989,sum_q1,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,27770,sum_ppincimp,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,1880,sum_insured,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,6242,sum_ppeducat,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_q1,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_ppincimp,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_insured,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_ppeducat,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2.4945,avg_q1,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,13.885,avg_ppincimp,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,0.94,avg_insured,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
,3.121,avg_ppeducat,-1,2000,1,1621246045.0573075,,100,300,14.522644996643066,0,2021-05-11T22:14:22
"1,2,3,4,5","550,521,532,337,60",histogram_q1,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
"1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","15,28,46,51,52,54,73,96,92,111,139,155,155,194,172,186,140,101,74,51",histogram_ppincimp,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
"0,1","1188,812",histogram_insured,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
"1,2,3,4","511,496,572,421",histogram_ppeducat,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,4836,sum_q1,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,26514,sum_ppincimp,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,812,sum_insured,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,4903,sum_ppeducat,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_q1,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_ppincimp,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_insured,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2000,count_ppeducat,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2.418,avg_q1,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,13.257,avg_ppincimp,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,0.406,avg_insured,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
,2.4515,avg_ppeducat,1.5,2000,1,1621246045.0573075,smartnoise_patectgan,100,300,14.522644996643066,0,2021-05-11T22:14:22
