batch_size,dataset,dataset_size,epochs,epsilon,generate_time,num_of_runs,score,synthetic_dir,test_start_time,timestamp,tool,noise_multiplier,sample_per_teacher,student_iters,teacher_iters
300.0,parkinson,1000.0,300.0,0.1,7.7613160610198975,0.0,0.18577456947472124,smartnoise_dpctgan_0.1_2021-05-17T10:18:28,1621246701.1382108,2021-05-17T10:18:28,smartnoise_dpctgan,,,,
500.0,parkinson,1000.0,300.0,0.1,4.540391206741333,0.0,0.19403141051742429,smartnoise_dpctgan_0.1_2021-05-17T10:18:33,1621246701.1382108,2021-05-17T10:18:33,smartnoise_dpctgan,,,,
300.0,parkinson,2000.0,300.0,0.1,5.809058666229248,0.0,0.3480648490971142,smartnoise_dpctgan_0.1_2021-05-17T10:21:57,1621246701.1382108,2021-05-17T10:21:57,smartnoise_dpctgan,,,,
500.0,parkinson,2000.0,300.0,0.1,5.670482158660889,0.0,0.3032031799429878,smartnoise_dpctgan_0.1_2021-05-17T10:22:03,1621246701.1382108,2021-05-17T10:22:03,smartnoise_dpctgan,,,,
300.0,parkinson,3000.0,300.0,0.1,8.108617782592773,0.0,0.20628429369883597,smartnoise_dpctgan_0.1_2021-05-17T10:25:51,1621246701.1382108,2021-05-17T10:25:51,smartnoise_dpctgan,,,,
500.0,parkinson,3000.0,300.0,0.1,7.581613063812256,0.0,0.32825337413434147,smartnoise_dpctgan_0.1_2021-05-17T10:25:59,1621246701.1382108,2021-05-17T10:25:59,smartnoise_dpctgan,,,,
300.0,parkinson,4000.0,300.0,0.1,11.72414755821228,0.0,0.18950306548976262,smartnoise_dpctgan_0.1_2021-05-17T10:32:00,1621246701.1382108,2021-05-17T10:32:00,smartnoise_dpctgan,,,,
500.0,parkinson,4000.0,300.0,0.1,9.796756982803345,0.0,0.30696044890084745,smartnoise_dpctgan_0.1_2021-05-17T10:32:09,1621246701.1382108,2021-05-17T10:32:09,smartnoise_dpctgan,,,,
300.0,parkinson,5000.0,300.0,0.1,15.08898138999939,0.0,0.2802914890928681,smartnoise_dpctgan_0.1_2021-05-17T10:41:11,1621246701.1382108,2021-05-17T10:41:11,smartnoise_dpctgan,,,,
500.0,parkinson,5000.0,300.0,0.1,11.204472064971924,0.0,0.19166074434505562,smartnoise_dpctgan_0.1_2021-05-17T10:41:23,1621246701.1382108,2021-05-17T10:41:23,smartnoise_dpctgan,,,,
300.0,parkinson,5499.0,300.0,0.1,17.660115957260132,0.0,0.17995394450673619,smartnoise_dpctgan_0.1_2021-05-17T10:53:31,1621246701.1382108,2021-05-17T10:53:31,smartnoise_dpctgan,,,,
500.0,parkinson,5499.0,300.0,0.1,12.259804964065552,0.0,0.2605620160187578,smartnoise_dpctgan_0.1_2021-05-17T10:53:44,1621246701.1382108,2021-05-17T10:53:44,smartnoise_dpctgan,,,,
500.0,parkinson,1000.0,300.0,0.1,17.66104483604431,0.0,0.1997811505084219,smartnoise_dpctgan_0.1_2021-06-05T08:59:23,1622883545.588345,2021-06-05T08:59:23,smartnoise_dpctgan,,,,
